from,2.29570249
fairest,1.673320053
creatures,1.414213562
we,2.199567057
desire,2.618118686
increase,0.957427108
that,2.144363615
thereby,4.949747468
beautys,2.295918516
rose,2.422120283
might,2.445718394
never,2.182315284
die,3.789938834
but,2.191833804
as,2.453142135
the,2.209576922
riper,2.828427125
should,2.149290654
by,2.151083965
time,2.520703927
decease,0.577350269
his,2.170602387
tender,0.786795792
heir,3.055050463
bear,2.539088359
memory,1.511857892
thou,2.221487422
contracted,2.828427125
to,2.406440235
thine,2.565423035
own,2.180372213
bright,2.723633936
eyes,2.642251598
feedst,0
thy,2.259207368
lights,0
flame,0.577350269
with,2.004078101
self,1.900772926
substantial,0
fuel,0
making,1.975225342
a,2.19142289
famine,0
where,2.322740182
abundance,1.154700538
lies,1.969463856
foe,0
sweet,2.303512282
too,2.449489743
cruel,2.138089935
art,2.720294102
now,2.772884579
worlds,1.516575089
fresh,2.070196678
ornament,2.408318916
and,2.361457731
only,2.316606714
herald,0
gaudy,0
spring,2.302172887
within,2.211539982
bud,2.121320344
buriest,0
content,0
churl,0
makst,1.414213562
waste,2.309401077
in,2.331855845
niggarding,0
pity,1.58113883
world,1.864454471
or,2.541636404
else,2.683281573
this,2.274963269
glutton,0
be,2.493673946
eat,1.527525232
due,4.147288271
grave,2.645751311
thee,2.375469878
when,2.109257395
forty,0
winters,1.816590212
shall,2.355961636
besiege,0.707106781
brow,1.552647509
dig,0
deep,2.065879266
trenches,0
field,0
youths,0
proud,1.489892687
livery,0
so,2.84413088
gazed,0
on,2.195363353
will,2.829785945
tattered,1.414213562
weed,2
of,2.056694778
small,0.707106781
worth,2.431518189
held,0.707106781
then,2.239004975
being,2.09068595
asked,0
all,2.429971585
beauty,1.688730279
treasure,2.645751311
lusty,0.707106781
days,2.585151163
say,2.753304892
sunken,0
were,2.304418544
an,1.972233729
eating,0
shame,2.424412873
thriftless,0
praise,2.531024428
how,1.992131959
much,2.28486066
more,2.589470437
deserved,0
use,2.393902511
if,1.803323437
couldst,0
answer,1.527525232
fair,2.234649303
child,1.685018016
mine,2.641490215
